1	0	0	347.512	837.139
1	1	0	736.137	984.782
1	2	0	428.247	1
1	3	0	875.452	122.317
1	4	0	124.388	583.112
1	5	0	336.258	829.706
1	6	0	229.502	472.581
1	7	0	821.524	951.569
1	8	0	1	265.016
1	9	0	762.937	145.138
1	10	0	651.793	721.694
1	11	0	609.962	996.161
1	12	0	640.116	771.652
1	13	0	79.4868	1000
1	14	0	448.95	303.151
1	15	0	47.4644	497.463
1	16	0	350.418	718.053
1	17	0	816.274	400.803
1	18	0	116.749	524.864
1	19	0	368.197	432.514
2	0	0	347.512	837.139
2	1	0	736.137	984.782
2	2	1	428.247	1
2	3	1	875.452	122.317
2	4	0	124.388	583.112
2	5	0	336.258	829.706
2	6	0	229.502	472.581
2	7	0	821.524	951.569
2	8	0	1	265.016
2	9	1	762.937	145.138
2	10	0	651.793	721.694
2	11	0	609.962	996.161
2	12	0	640.116	771.652
2	13	0	79.4868	1000
2	14	0	448.95	303.151
2	15	0	47.4644	497.463
2	16	0	350.418	718.053
2	17	0	816.274	400.803
2	18	0	116.749	524.864
2	19	0	368.197	432.514
3	0	0	347.512	837.139
3	1	0	736.137	984.782
3	2	1	428.247	1
3	3	1	875.452	122.317
3	4	0	124.388	583.112
3	5	0	336.258	829.706
3	6	0	229.502	472.581
3	7	0	821.524	951.569
3	8	0	1	265.016
3	9	1	762.937	145.138
3	10	0	651.793	721.694
3	11	0	609.962	996.161
3	12	0	640.116	771.652
3	13	0	79.4868	1000
3	14	0	448.95	303.151
3	15	0	47.4644	497.463
3	16	0	350.418	718.053
3	17	0	816.274	400.803
3	18	0	116.749	524.864
3	19	0	368.197	432.514
4	0	0	347.512	837.139
4	1	0	736.137	984.782
4	2	1	428.247	1
4	3	1	875.452	122.317
4	4	0	124.388	583.112
4	5	0	336.258	829.706
4	6	0	229.502	472.581
4	7	0	821.524	951.569
4	8	0	1	265.016
4	9	1	762.937	145.138
4	10	0	651.793	721.694
4	11	0	609.962	996.161
4	12	0	640.116	771.652
4	13	0	79.4868	1000
4	14	0	448.95	303.151
4	15	0	47.4644	497.463
4	16	0	350.418	718.053
4	17	0	816.274	400.803
4	18	0	116.749	524.864
4	19	0	368.197	432.514
5	0	0	347.512	837.139
5	1	0	736.137	984.782
5	2	1	428.247	1
5	3	1	875.452	122.317
5	4	0	124.388	583.112
5	5	0	336.258	829.706
5	6	0	229.502	472.581
5	7	0	821.524	951.569
5	8	0	1	265.016
5	9	1	762.937	145.138
5	10	0	651.793	721.694
5	11	0	609.962	996.161
5	12	0	640.116	771.652
5	13	0	79.4868	1000
5	14	0	448.95	303.151
5	15	0	47.4644	497.463
5	16	0	350.418	718.053
5	17	0	816.274	400.803
5	18	0	116.749	524.864
5	19	0	368.197	432.514
6	0	0	347.512	837.139
6	1	0	736.137	984.782
6	2	1	428.247	1
6	3	1	875.452	122.317
6	4	0	124.388	583.112
6	5	0	336.258	829.706
6	6	0	229.502	472.581
6	7	0	821.524	951.569
6	8	0	1	265.016
6	9	1	762.937	145.138
6	10	0	651.793	721.694
6	11	0	609.962	996.161
6	12	0	640.116	771.652
6	13	0	79.4868	1000
6	14	0	448.95	303.151
6	15	0	47.4644	497.463
6	16	0	350.418	718.053
6	17	0	816.274	400.803
6	18	0	116.749	524.864
6	19	0	368.197	432.514
7	0	0	347.512	837.139
7	1	0	736.137	984.782
7	2	1	428.247	1
7	3	1	875.452	122.317
7	4	0	124.388	583.112
7	5	0	336.258	829.706
7	6	0	229.502	472.581
7	7	0	821.524	951.569
7	8	0	1	265.016
7	9	1	762.937	145.138
7	10	0	651.793	721.694
7	11	0	609.962	996.161
7	12	0	640.116	771.652
7	13	0	79.4868	1000
7	14	0	448.95	303.151
7	15	0	47.4644	497.463
7	16	0	350.418	718.053
7	17	0	816.274	400.803
7	18	0	116.749	524.864
7	19	0	368.197	432.514
8	0	0	347.512	837.139
8	1	0	736.137	984.782
